estado,codigo_estado,data,semana_epidem,populacao,populacao_2019,is_last,is_repeated,casos_confirmados,casos_por_100k_habitantes,data_atualizacao,taxa_mortalidade,obitos,estado,casos_novos,obitos_novos
São Paulo,35.0,2020-02-25,202009,46289333.0,45919049.0,False,False,1,0.00216,2020-02-25,0.0,0,SP,1,0
São Paulo,35.0,2020-02-26,202009,46289333.0,45919049.0,False,False,1,0.00216,2020-02-26,0.0,0,SP,0,0
São Paulo,35.0,2020-02-27,202009,46289333.0,45919049.0,False,False,1,0.00216,2020-02-27,0.0,0,SP,0,0
São Paulo,35.0,2020-02-28,202009,46289333.0,45919049.0,False,False,2,0.00432,2020-02-28,0.0,0,SP,1,0
São Paulo,35.0,2020-02-29,202009,46289333.0,45919049.0,False,False,2,0.00432,2020-02-29,0.0,0,SP,0,0
São Paulo,35.0,2020-03-01,202010,46289333.0,45919049.0,False,False,2,0.00432,2020-03-01,0.0,0,SP,0,0
São Paulo,35.0,2020-03-02,202010,46289333.0,45919049.0,False,False,2,0.00432,2020-03-02,0.0,0,SP,0,0
São Paulo,35.0,2020-03-03,202010,46289333.0,45919049.0,False,False,2,0.00432,2020-03-03,0.0,0,SP,0,0
São Paulo,35.0,2020-03-04,202010,46289333.0,45919049.0,False,False,3,0.00648,2020-03-04,0.0,0,SP,1,0
São Paulo,35.0,2020-03-05,202010,46289333.0,45919049.0,False,False,6,0.01296,2020-03-05,0.0,0,SP,3,0
São Paulo,35.0,2020-03-06,202010,46289333.0,45919049.0,False,False,10,0.0216,2020-03-06,0.0,0,SP,4,0
São Paulo,35.0,2020-03-07,202010,46289333.0,45919049.0,False,False,13,0.02808,2020-03-07,0.0,0,SP,3,0
São Paulo,35.0,2020-03-08,202011,46289333.0,45919049.0,False,False,16,0.03457,2020-03-08,0.0,0,SP,3,0
São Paulo,35.0,2020-03-09,202011,46289333.0,45919049.0,False,False,16,0.03457,2020-03-09,0.0,0,SP,0,0
São Paulo,35.0,2020-03-10,202011,46289333.0,45919049.0,False,False,19,0.04105,2020-03-10,0.0,0,SP,3,0
São Paulo,35.0,2020-03-11,202011,46289333.0,45919049.0,False,False,30,0.06481,2020-03-11,0.0,0,SP,11,0
São Paulo,35.0,2020-03-12,202011,46289333.0,45919049.0,False,False,46,0.09937,2020-03-12,0.0,0,SP,16,0
São Paulo,35.0,2020-03-13,202011,46289333.0,45919049.0,False,True,46,0.09937,2020-03-12,0.0,0,SP,0,0
São Paulo,35.0,2020-03-14,202011,46289333.0,45919049.0,False,False,65,0.14042000000000002,2020-03-14,0.0,0,SP,19,0
São Paulo,35.0,2020-03-15,202012,46289333.0,45919049.0,False,True,65,0.14042000000000002,2020-03-14,0.0,0,SP,0,0
São Paulo,35.0,2020-03-16,202012,46289333.0,45919049.0,False,False,152,0.32837,2020-03-16,0.0,0,SP,87,0
São Paulo,35.0,2020-03-17,202012,46289333.0,45919049.0,False,False,164,0.35429,2020-03-17,0.0061,1,SP,12,1
São Paulo,35.0,2020-03-18,202012,46289333.0,45919049.0,False,False,240,0.51848,2020-03-18,0.0125,3,SP,76,2
São Paulo,35.0,2020-03-19,202012,46289333.0,45919049.0,False,False,286,0.61785,2020-03-19,0.0175,5,SP,46,2
São Paulo,35.0,2020-03-20,202012,46289333.0,45919049.0,False,False,396,0.85549,2020-03-20,0.0227,9,SP,110,4
São Paulo,35.0,2020-03-21,202012,46289333.0,45919049.0,False,False,396,0.85549,2020-03-21,0.0379,15,SP,0,6
São Paulo,35.0,2020-03-22,202013,46289333.0,45919049.0,False,False,631,1.36317,2020-03-22,0.0349,22,SP,235,7
São Paulo,35.0,2020-03-23,202013,46289333.0,45919049.0,False,False,745,1.60944,2020-03-23,0.0403,30,SP,114,8
São Paulo,35.0,2020-03-24,202013,46289333.0,45919049.0,False,False,810,1.7498599999999997,2020-03-24,0.0494,40,SP,65,10
São Paulo,35.0,2020-03-25,202013,46289333.0,45919049.0,False,False,862,1.8622,2020-03-25,0.0557,48,SP,52,8
São Paulo,35.0,2020-03-26,202013,46289333.0,45919049.0,False,False,1052,2.2726599999999997,2020-03-26,0.0551,58,SP,190,10
São Paulo,35.0,2020-03-27,202013,46289333.0,45919049.0,False,False,1223,2.64208,2020-03-27,0.0556,68,SP,171,10
São Paulo,35.0,2020-03-28,202013,46289333.0,45919049.0,False,False,1406,3.03742,2020-03-28,0.0597,84,SP,183,16
São Paulo,35.0,2020-03-29,202014,46289333.0,45919049.0,False,False,1451,3.13463,2020-03-29,0.0675,98,SP,45,14
São Paulo,35.0,2020-03-30,202014,46289333.0,45919049.0,False,False,1517,3.2772099999999997,2020-03-30,0.0745,113,SP,66,15
São Paulo,35.0,2020-03-31,202014,46289333.0,45919049.0,False,False,2339,5.053,2020-03-31,0.0581,136,SP,822,23
São Paulo,35.0,2020-04-01,202014,46289333.0,45919049.0,False,False,2981,6.43993,2020-04-01,0.055,164,SP,642,28
São Paulo,35.0,2020-04-02,202014,46289333.0,45919049.0,False,False,3506,7.5741,2020-04-02,0.0536,188,SP,525,24
São Paulo,35.0,2020-04-03,202014,46289333.0,45919049.0,False,False,4048,8.745,2020-04-03,0.0541,219,SP,542,31
São Paulo,35.0,2020-04-04,202014,46289333.0,45919049.0,False,False,4466,9.648010000000001,2020-04-04,0.0582,260,SP,418,41
São Paulo,35.0,2020-04-05,202015,46289333.0,45919049.0,False,False,4620,9.9807,2020-04-05,0.0595,275,SP,154,15
São Paulo,35.0,2020-04-06,202015,46289333.0,45919049.0,False,False,4866,10.512139999999999,2020-04-06,0.0625,304,SP,246,29
São Paulo,35.0,2020-04-07,202015,46289333.0,45919049.0,False,False,5682,12.27497,2020-04-07,0.0653,371,SP,816,67
São Paulo,35.0,2020-04-08,202015,46289333.0,45919049.0,False,False,6708,14.49146,2020-04-08,0.0638,428,SP,1026,57
São Paulo,35.0,2020-04-09,202015,46289333.0,45919049.0,False,False,7480,16.159229999999997,2020-04-09,0.0663,496,SP,772,68
São Paulo,35.0,2020-04-10,202015,46289333.0,45919049.0,False,False,8216,17.749229999999997,2020-04-10,0.0657,540,SP,736,44
São Paulo,35.0,2020-04-11,202015,46289333.0,45919049.0,False,False,8419,18.18778,2020-04-11,0.0665,560,SP,203,20
São Paulo,35.0,2020-04-12,202016,46289333.0,45919049.0,False,False,8755,18.91364,2020-04-12,0.0672,588,SP,336,28
São Paulo,35.0,2020-04-13,202016,46289333.0,45919049.0,False,False,8895,19.216089999999998,2020-04-13,0.0684,608,SP,140,20
São Paulo,35.0,2020-04-14,202016,46289333.0,45919049.0,False,False,9371,20.2444,2020-04-14,0.0742,695,SP,476,87
São Paulo,35.0,2020-04-15,202016,46289333.0,45919049.0,False,False,11043,23.85647,2020-04-15,0.0705,778,SP,1672,83
São Paulo,35.0,2020-04-16,202016,46289333.0,45919049.0,False,False,11568,24.99064,2020-04-16,0.0737,853,SP,525,75
São Paulo,35.0,2020-04-17,202016,46289333.0,45919049.0,False,False,12841,27.74073,2020-04-17,0.0723,928,SP,1273,75
São Paulo,35.0,2020-04-18,202016,46289333.0,45919049.0,False,False,13894,30.01555,2020-04-18,0.0713,991,SP,1053,63
