index,city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
1995615,Santo André,3547809.0,2020-03-21,202012,721368.0,718773.0,False,True,3,0.41588,2020-03-20,0.0,0,6,city,SP,0,0
1995638,Santo André,3547809.0,2020-03-22,202013,721368.0,718773.0,False,True,3,0.41588,2020-03-20,0.0,0,7,city,SP,0,0
1995661,Santo André,3547809.0,2020-03-23,202013,721368.0,718773.0,False,True,3,0.41588,2020-03-20,0.0,0,8,city,SP,0,0
1995684,Santo André,3547809.0,2020-03-24,202013,721368.0,718773.0,False,True,3,0.41588,2020-03-20,0.0,0,9,city,SP,0,0
1995830,Santo André,3547809.0,2020-03-28,202013,721368.0,718773.0,False,True,17,2.35663,2020-03-27,0.0,0,13,city,SP,0,0
1995870,Santo André,3547809.0,2020-03-29,202014,721368.0,718773.0,False,True,17,2.35663,2020-03-27,0.0,0,14,city,SP,0,0
2072247,Santo André,3547809.0,2020-08-29,202035,721368.0,718773.0,False,True,14405,1996.9003300000002,2020-08-28,0.0353,509,167,city,SP,0,0
2078070,Santo André,3547809.0,2020-09-07,202037,721368.0,718773.0,False,True,15181,2104.47372,2020-09-06,0.0364,553,176,city,SP,0,0
2095539,Santo André,3547809.0,2020-10-04,202041,721368.0,718773.0,False,True,17526,2429.55052,2020-10-03,0.035,613,203,city,SP,0,0
2096186,Santo André,3547809.0,2020-10-05,202041,721368.0,718773.0,False,True,17526,2429.55052,2020-10-03,0.035,613,204,city,SP,0,0
2097480,Santo André,3547809.0,2020-10-07,202041,721368.0,718773.0,False,True,17621,2442.71994,2020-10-06,0.0348,613,206,city,SP,0,0
2103303,Santo André,3547809.0,2020-10-16,202042,721368.0,718773.0,False,True,18237,2528.11325,2020-10-15,0.0344,627,215,city,SP,0,0
2113655,Santo André,3547809.0,2020-11-01,202045,721368.0,718773.0,False,True,19398,2689.05746,2020-10-31,0.0333,646,231,city,SP,0,0
2116890,Santo André,3547809.0,2020-11-06,202045,721368.0,718773.0,False,True,19610,2718.44606,2020-11-05,0.0328,644,236,city,SP,0,0
2117537,Santo André,3547809.0,2020-11-07,202045,721368.0,718773.0,False,True,19610,2718.44606,2020-11-05,0.0328,644,237,city,SP,0,0
2118184,Santo André,3547809.0,2020-11-08,202046,721368.0,718773.0,False,True,19610,2718.44606,2020-11-05,0.0328,644,238,city,SP,0,0
2118831,Santo André,3547809.0,2020-11-09,202046,721368.0,718773.0,False,True,19610,2718.44606,2020-11-05,0.0328,644,239,city,SP,0,0
2125948,Santo André,3547809.0,2020-11-20,202047,721368.0,718773.0,False,True,21377,2963.39732,2020-11-19,0.0311,665,250,city,SP,0,0
2142770,Santo André,3547809.0,2020-12-16,202051,721368.0,718773.0,False,True,25275,3503.7595200000005,2020-12-15,0.0294,742,276,city,SP,0,0
2151828,Santo André,3547809.0,2020-12-30,202053,721368.0,718773.0,False,True,27483,3809.8446299999996,2020-12-29,0.0294,808,290,city,SP,0,0
2153122,Santo André,3547809.0,2021-01-01,202053,721368.0,718773.0,False,True,27983,3879.1573799999996,2020-12-31,0.0306,855,292,city,SP,0,0
2226233,Santo André,3547809.0,2021-04-24,202116,721368.0,718773.0,False,True,47982,6651.52876,2021-04-23,0.0408,1957,405,city,SP,0,0
2230762,Santo André,3547809.0,2021-05-01,202117,721368.0,718773.0,False,True,49130,6810.670840000001,2021-04-30,0.042,2064,412,city,SP,0,0
2240467,Santo André,3547809.0,2021-05-16,202120,721368.0,718773.0,False,True,51248,7104.27965,2021-05-15,0.044,2257,427,city,SP,0,0
2250819,Santo André,3547809.0,2021-06-01,202122,721368.0,718773.0,False,True,53395,7401.9086,2021-05-31,0.047,2507,443,city,SP,0,0
2259230,Santo André,3547809.0,2021-06-14,202124,721368.0,718773.0,False,True,55217,7654.484259999999,2021-06-13,0.0475,2625,456,city,SP,0,0
2261171,Santo André,3547809.0,2021-06-17,202124,721368.0,718773.0,False,True,55797,7734.88705,2021-06-16,0.0476,2657,459,city,SP,0,0
2268288,Santo André,3547809.0,2021-06-28,202126,721368.0,718773.0,False,True,57811,8014.078809999999,2021-06-27,0.0476,2750,470,city,SP,0,0
